time,event_type,qw,qx,qy,qz,bx,by,bz
6438.789085150001,IMU,0.9950649604343651,-0.08007061798316888,-0.0371767463468561,-0.04530243020645404,0.00033395328630538815,-6.623561015162121e-05,0.0010539753982817545
6438.792823756,TRIAD,0.9951251133114565,-0.08024698749304472,-0.03528474389068907,-0.045182039614437286,0.00033585658046795305,-7.68168874615266e-05,0.0010555973287168477
6438.79708515,IMU,0.9951262385545653,-0.08024538432368897,-0.03528158471080822,-0.045162566526715825,0.00033585658046795305,-7.68168874615266e-05,0.0010555973287168477
6438.80535941,IMU,0.9951282589497065,-0.08024168089223808,-0.03527738636591917,-0.04512789490441497,0.00033585658046795305,-7.68168874615266e-05,0.0010555973287168477
6438.80983198,TRIAD,0.994726122866086,-0.08289943774864394,-0.027078288138400908,-0.053985090721948695,0.00037568804369719744,-0.00011644189815209877,0.0014651100254042468
6438.81335941,IMU,0.9947266481268611,-0.08290048794444786,-0.027076604133020786,-0.05397464324565707,0.00037568804369719744,-0.00011644189815209877,0.0014651100254042468
6438.8210978550005,IMU,0.9947263066334366,-0.08290478329502576,-0.027075719307917495,-0.053974783206288963,0.00037568804369719744,-0.00011644189815209877,0.0014651100254042468
6438.824945758,TRIAD,0.9887526807026779,-0.09587287208544978,-0.11423352161306648,-0.011279687107029044,0.000722020705721341,0.0002744738539568802,-0.00042002868388111604
6438.829097855,IMU,0.988751974507898,-0.09587668716615157,-0.11423541855490331,-0.01128994740302825,0.000722020705721341,0.0002744738539568802,-0.00042002868388111604
6438.835926355,IMU,0.9887508494534296,-0.09587582817382898,-0.1142427812504611,-0.011321228257716937,0.000722020705721341,0.0002744738539568802,-0.00042002868388111604
6438.840170054,TRIAD,0.9937456007850085,-0.09013631653761593,-0.034995602868287665,-0.05586083727763516,0.0005095631868792611,-6.826130989543989e-05,0.0014877790324300027
6438.843926355,IMU,0.9937442168468761,-0.09013386612491991,-0.03499983047715478,-0.05588675627851832,0.0005095631868792611,-6.826130989543989e-05,0.0014877790324300027
6438.8507365020005,IMU,0.9937419401971792,-0.09013348715388043,-0.035007663330773035,-0.055922931743128367,0.0005095631868792611,-6.826130989543989e-05,0.0014877790324300027
6438.854935294,TRIAD,0.9938921108816453,-0.08993809496852881,-0.031514861903346555,-0.05564552524572002,0.000502946481998763,-8.367803140168505e-05,0.0014886396611114366
6438.858736502,IMU,0.9938914090310482,-0.08994116357816255,-0.03151774901674011,-0.055651465797422,0.000502946481998763,-8.367803140168505e-05,0.0014886396611114366
6438.867940856,IMU,0.9938915365575097,-0.08994757167264902,-0.03152042214907318,-0.055637315689115306,0.000502946481998763,-8.367803140168505e-05,0.0014886396611114366
