timestamp,mx,my,mz
11185.669677912,-268.0242283514001,21462.003642073625,-5322.638765069742
11185.683983134,-404.9238659400701,21561.789684196166,-4884.510504643566
11185.698976334,-194.56618146184007,21369.593414647403,-5303.101456074721
11185.713352408,-540.4012272720901,21489.859313691628,-4946.768955223639
11185.727217707,-462.76310037717013,21526.564171007514,-5198.511308497505
11185.743075679,-568.5643145668901,21463.678108306474,-5328.390562060397
11185.758426913,-342.5131733503901,21623.423381545883,-4853.095652222079
11185.774847085,-389.63389182780014,21423.601421543095,-5198.662127886986
11185.79057091,-361.2266975442701,21645.682234399857,-4745.7463362249555
11185.806394011,-496.0060339333101,21553.685148166645,-4779.01130869139
11185.819997183,-260.4347201563401,21529.62042031481,-4921.263950248909
11185.834194184,-358.9167595104201,21513.54275702076,-4669.610435793505
11185.848619887,-391.8187502475901,21329.22205368371,-5336.786863414573
11185.863110997,-405.77924910719014,21643.539873321915,-4902.813367265771
11185.877456053,-267.3665516710201,21483.108686150023,-5283.262508300736
11185.890919299,-101.72684663237008,21469.444165631503,-4772.705818599622
11185.905772074,-365.8122775887601,21528.862828874142,-5011.151273370664
11185.920576108,-125.98018728123009,21508.06141868658,-4938.527605297013
11185.936130749,-277.1711794828201,21512.190839574734,-4726.626363074803
11185.950583285,-353.3870301210901,21347.277817099446,-5482.192250017977
11185.96822406,-407.55860748785005,21580.373073713818,-5011.175032589555
11185.982611227,-330.88076924281006,21410.32913627769,-5373.433909039665
11185.998231737,-311.6487698745201,21501.774703906274,-5420.487492539016
11186.012529811,-348.1074599598801,21547.034072719733,-5156.953335628595
11186.025204489,-480.9097314815201,21415.34855289247,-5102.9300369180455
11186.041915566,-296.6049201641101,21626.60407097155,-4627.658886298618
11186.056452621,-426.9479650802801,21550.610979482306,-4953.430833598772
11186.072166501,-308.4108218008701,21411.54864943777,-5285.1332885360225
11186.086339465,-298.4427835255401,21573.693128159448,-4735.866633204368
11186.100683113,-236.44767804064008,21410.69947006998,-5313.04623869488
11186.115160742,-403.3926493744001,21532.060442155907,-4816.60252501502
11186.129850166,-327.2373211300301,21351.31565006048,-5208.316634832869
11186.146474466,-176.31666228786008,21326.37785033813,-5440.059923857614
11186.160901984,-233.2319215114201,21392.561078415634,-5157.080395799186
11186.176244941,-390.5578670413401,21278.684432809256,-5288.720930588564
11186.190333794,-255.6554684513701,21646.58815846163,-4646.091908119965
11186.203511024,-462.73687400648004,21351.472942370106,-5249.963446520241
11186.218421724,-405.9103809606401,21530.132118081565,-4943.574889797074
11186.233216444,-90.81465901220008,21348.504298906155,-5301.425914638146
11186.249643727,-234.7268246407501,21484.122126474067,-5204.530654953063
11186.262091146,-172.56023903980008,21349.85621635218,-5244.409987356848
11186.275911613,-332.7771375850101,21367.674050261583,-5481.487737527383
11186.291801566,-401.6717959745101,21605.48309856,-4708.086941273204
11186.307225652,-367.5694444249901,21393.608366451885,-5140.1245775871475
11186.321574319,-340.9416085221201,21552.522379700546,-4795.570451248899
11186.336084799,-403.80218423979005,21603.851439727867,-4815.525096088789
11186.351978641,-213.1485738022701,21505.260022741717,-5154.990617546295
11186.366178124,-401.5184725766301,21646.80319098618,-4687.937057634602
11186.379779758,-289.6024791898801,21440.86574580597,-5372.178802476511
11186.394604607,-383.19229170371005,21624.24767289,-4814.820583598194
11186.409443419,-410.5585008121601,21526.572135175094,-5177.985409394714
11186.424072269,-281.03049080051005,21643.143655985008,-4880.899103372133
11186.438449954,-435.7842345896801,21623.94304348022,-4854.880692667455
11186.453659652,-282.9409810346201,21466.569101136567,-5030.02229122722
11186.467390101,-431.6001197580601,21606.546314931395,-4650.079324855586
11186.482217931,-468.1818720443501,21419.407291793388,-5502.830747158119
11186.498119514,-435.72169478265005,21510.68362086098,-4885.875110215523
11186.512341126,-460.3986921888101,21487.172402655677,-5091.688827354052
11186.527955192,-413.8468842140601,21421.046914793096,-5374.866693239745
11186.542229304,-341.0949319200001,21511.202287274366,-4815.720334887502
11186.5536991,-260.9753868751801,21488.003662646424,-4960.94804385398
11186.569863903,-397.2940094824101,21588.23470263228,-4493.5184684781
11186.584250459,-268.4801637187801,21235.03979897183,-5413.928915115583
11186.600407855,-459.7410155084301,21508.277446732074,-5052.312570585046
11186.615148945,-196.46254980404007,21326.93832863129,-5411.155284562437
11186.625836358,-430.9565649695901,21493.73189017546,-4651.772427453949
11186.641350369,-501.6991737861701,21528.723455941563,-5072.332295024506
11186.655695813,-302.6228635309001,21488.086290885025,-4971.508500146272
11186.671085566,-492.9980709564801,21401.47895505887,-4673.8819301463
11186.688317381,-391.1751954591201,21216.407628927776,-5338.4799660129365
11186.704773127,-366.09673284009006,21374.13498120762,-5072.062679540569
11186.719263385,-379.11711718111013,21421.35552628667,-4671.39237721033
11186.735175431,-524.1428948574201,21352.412714144073,-5212.085053550885
11186.74939782,-496.98851412762014,21419.024016228792,-4868.916192974934
11186.762541939,-505.6997040229601,21309.345482455905,-5339.2764163505435
11186.777380047,-477.42364159288013,21418.01854007232,-4927.122147219816
11186.79317239,-478.28911182565,21262.84569454248,-5017.334868339426
11186.808698623,-278.8516846201101,21397.596423365565,-4845.524725471985
11186.823765934,-556.05635316089,21555.663248288332,-4672.763180839389
11186.840534548,-380.4869406963801,21286.39772910661,-4780.831471460344
11186.854724271,-556.3266865203101,21534.85486945413,-4692.605227641925
11186.869407621,-511.35653043948,21346.215596249,-5612.139682208992
11186.882610999,-521.5121881359001,21436.832890449674,-5054.5800264748605
11186.897438163,-149.41042337305007,21300.09311077449,-5137.3447489769005
11186.91188431,-391.78243681125014,21391.05385970188,-5316.329142939905
11186.926935324,-361.0612696676101,21377.991629356296,-4818.1179499764585
