x,y,z
10838.910641776685,-35126.186515139096,5962.25297506634
10877.853902676565,-35225.37482388797,6848.27946381384
10708.150821006704,-35040.33632726454,6175.42528651724
10736.266771436514,-35250.56243164133,6484.61929422699
10933.763442227064,-35230.45544531549,6537.44262284264
10822.853019066148,-35122.520046352845,6195.87562146674
10787.43961450113,-35397.44760640709,6931.64216554394
10885.74772523364,-35194.18501208693,6215.48958618709
10603.306834731788,-35289.700893541245,6549.68601046344
10830.24315207772,-35157.96820543325,6556.039742870091
10919.88780262763,-35045.83702352861,5896.81087194529
10939.41282416939,-35267.23533100541,6809.849747144241
10886.031806137302,-35039.835812565645,6276.29916764434
10884.448206206249,-35102.70006151109,6177.8694263977395
10802.117127857,-35227.48711508741,6681.130203184491
10818.211016214818,-35126.07131731157,5961.85696252874
10762.03149906793,-35185.14992730437,6758.95904221469
10773.257731658034,-35295.267133396854,6250.77801590479
10792.716266179788,-35214.128139433975,6213.40020753819
10800.726944711423,-35290.20339440957,6592.451239393639
10725.8585306683,-35196.87229933925,5978.50083321709
10877.467069105618,-35225.67076313453,6828.77790890234
10711.942595905226,-35057.98642199309,6360.3827359467905
10926.198025253652,-35164.315009878774,6177.73948478384
10547.393265664923,-35181.86877538949,6891.31179495039
10684.410925348197,-34950.06790547069,6049.65211708854
10894.941066818106,-35341.283700067484,6632.46810006159
10887.736291559275,-35100.18457791533,6343.63264314549
10732.047867803407,-35192.13727139429,6290.5257118010895
10960.53554894948,-35205.37409762717,6850.17083619394
10965.064725342618,-35197.309256616056,6041.55964213399
10763.024774851654,-35359.07282665685,6756.34680326224
10952.16422870327,-35304.25752936701,6400.25212319579
